,date_time,mem.total,mem.free,mem.unit,mem.usage,cpu.total,cpu.busy,cpu.idle,cpu.usage,disk.used,disk.free,disk.usedProc,net.interface,net.tx,net.rx,net.unit,uptime.days,uptime.minutes,uptime.seconds,uptime.hours
106,2024-01-19 08:32:02,1983,1452,Mb,17,948907,169557,779350,2.0,6517872,44085960,12,eth0,49220,1042324,bps,11,44.0,37.0,
107,2024-01-19 08:32:13,1983,1450,Mb,17,948918,169559,779359,15.0,6517884,44085948,12,eth0,42699,406950,bps,11,44.0,48.0,
108,2024-01-19 08:32:24,1983,1443,Mb,17,948929,169560,779368,36.0,6517896,44085936,12,eth0,10400,434830,bps,11,44.0,59.0,
109,2024-01-19 08:32:35,1983,1450,Mb,17,948940,169562,779377,5.0,6517912,44085920,12,eth0,34102,436174,bps,11,45.0,10.0,
110,2024-01-19 08:32:46,1983,1453,Mb,17,948951,169565,779386,2.0,6517936,44085896,12,eth0,32625,647011,bps,11,45.0,21.0,
111,2024-01-19 08:32:57,1983,1451,Mb,17,948962,169566,779395,63.0,6517944,44085888,12,eth0,26276,619700,bps,11,45.0,32.0,
112,2024-01-19 08:33:08,1983,1465,Mb,16,948973,169568,779404,2.0,6517960,44085872,12,eth0,61907,877497,bps,11,45.0,43.0,
113,2024-01-19 08:33:19,1983,1449,Mb,17,948984,169570,779413,2.0,6517968,44085864,12,eth0,56534,988492,bps,11,45.0,54.0,
114,2024-01-19 08:33:30,1983,1452,Mb,17,948994,169572,779422,1.0,6517988,44085844,12,eth0,61640,1039011,bps,11,46.0,5.0,
115,2024-01-19 08:33:41,1983,1442,Mb,17,949005,169573,779431,65.0,6518176,44085656,12,eth0,35486,489112,bps,11,46.0,16.0,
116,2024-01-19 08:33:52,1983,1448,Mb,17,949016,169575,779440,2.0,6518012,44085820,12,eth0,37252,346142,bps,11,46.0,27.0,
117,2024-01-19 08:34:03,1983,1451,Mb,17,949027,169577,779449,2.0,6518024,44085808,12,eth0,28371,38756,bps,11,46.0,38.0,
118,2024-01-19 08:34:14,1983,1449,Mb,17,949038,169579,779458,55.0,6518044,44085788,12,eth0,37702,1174782,bps,11,46.0,49.0,
119,2024-01-19 08:34:25,1983,1464,Mb,16,949049,169581,779467,4.0,6518048,44085784,12,eth0,39276,863481,bps,11,47.0,,
120,2024-01-19 08:34:36,1983,1451,Mb,17,949060,169583,779476,2.0,6518068,44085764,12,eth0,51612,995886,bps,11,47.0,11.0,
121,2024-01-19 08:34:47,1983,1448,Mb,17,949070,169585,779485,7.0,6518076,44085756,12,eth0,48832,600804,bps,11,47.0,22.0,
122,2024-01-19 08:34:58,1983,1442,Mb,17,949081,169587,779494,37.0,6518092,44085740,12,eth0,35478,571803,bps,11,47.0,33.0,
123,2024-01-19 08:35:09,1983,1449,Mb,17,949092,169589,779503,,6518104,44085728,12,eth0,57020,396675,bps,11,47.0,44.0,
124,2024-01-19 08:35:20,1983,1449,Mb,17,949103,169591,779511,2.0,6518124,44085708,12,eth0,47883,558649,bps,11,47.0,55.0,
125,2024-01-19 08:35:31,1983,1439,Mb,17,949114,169592,779521,52.0,6518192,44085640,12,eth0,27601,846443,bps,11,48.0,6.0,
126,2024-01-19 08:35:42,1983,1464,Mb,16,949125,169594,779530,5.0,6518156,44085676,12,eth0,35894,440808,bps,11,48.0,17.0,
127,2024-01-19 08:35:53,1983,1451,Mb,17,949136,169597,779539,2.0,6518172,44085660,12,eth0,38025,538200,bps,11,48.0,28.0,
128,2024-01-19 08:36:04,1983,1449,Mb,17,949146,169598,779548,61.0,6518196,44085636,12,eth0,43265,529497,bps,11,48.0,39.0,
129,2024-01-19 08:36:15,1983,1465,Mb,16,949157,169600,779557,6.0,6518200,44085632,12,eth0,27212,513867,bps,11,48.0,50.0,
130,2024-01-19 08:36:26,1983,1447,Mb,17,949168,169602,779565,5.0,6518220,44085612,12,eth0,42048,596523,bps,11,49.0,1.0,
131,2024-01-19 08:36:37,1983,1452,Mb,17,949179,169605,779574,18.0,6518244,44085588,12,eth0,57483,539203,bps,11,49.0,12.0,
132,2024-01-19 08:36:48,1983,1437,Mb,17,949190,169606,779583,17.0,6518256,44085576,12,eth0,27827,468390,bps,11,49.0,23.0,
133,2024-01-19 08:36:59,1983,1450,Mb,17,949201,169608,779592,3.0,6518272,44085560,12,eth0,58896,645680,bps,11,49.0,34.0,
134,2024-01-19 08:37:10,1983,1451,Mb,17,949212,169611,779601,2.0,6518284,44085548,12,eth0,57840,709500,bps,11,49.0,45.0,
135,2024-01-19 08:37:21,1983,1425,Mb,18,949223,169612,779610,67.0,6518480,44085352,12,eth0,28193,466804,bps,11,49.0,56.0,
