,date_time,bitrate_out,bitrate,ts,streamId
171,2024-01-19 08:18:21,731,731,1705695501,input_1
172,2024-01-19 08:18:23,783,783,1705695503,input_1
173,2024-01-19 08:18:25,404,404,1705695505,input_1
174,2024-01-19 08:18:27,340,340,1705695507,input_1
175,2024-01-19 08:18:29,526,526,1705695509,input_1
176,2024-01-19 08:18:31,202,202,1705695511,input_1
177,2024-01-19 08:18:33,377,377,1705695513,input_1
178,2024-01-19 08:18:35,577,577,1705695515,input_1
179,2024-01-19 08:18:37,207,207,1705695517,input_1
180,2024-01-19 08:18:39,431,431,1705695519,input_1
181,2024-01-19 08:18:41,269,269,1705695521,input_1
182,2024-01-19 08:18:43,312,312,1705695523,input_1
183,2024-01-19 08:18:45,552,552,1705695525,input_1
184,2024-01-19 08:18:47,706,706,1705695527,input_1
185,2024-01-19 08:18:49,701,701,1705695529,input_1
186,2024-01-19 08:18:51,335,335,1705695531,input_1
187,2024-01-19 08:18:53,511,511,1705695533,input_1
188,2024-01-19 08:18:55,512,512,1705695535,input_1
189,2024-01-19 08:18:57,316,316,1705695537,input_1
190,2024-01-19 08:18:59,248,248,1705695539,input_1
191,2024-01-19 08:19:01,217,217,1705695541,input_1
192,2024-01-19 08:19:03,253,253,1705695543,input_1
193,2024-01-19 08:19:05,105,105,1705695545,input_1
194,2024-01-19 08:19:07,184,184,1705695547,input_1
195,2024-01-19 08:19:11,470,470,1705695551,input_1
196,2024-01-19 08:19:13,488,488,1705695553,input_1
197,2024-01-19 08:19:15,705,705,1705695555,input_1
198,2024-01-19 08:19:17,1147,1147,1705695557,input_1
199,2024-01-19 08:19:19,608,608,1705695559,input_1
200,2024-01-19 08:19:21,339,339,1705695561,input_1
201,2024-01-19 08:19:23,516,516,1705695563,input_1
202,2024-01-19 08:19:25,206,206,1705695565,input_1
203,2024-01-19 08:19:27,563,563,1705695567,input_1
204,2024-01-19 08:19:29,670,670,1705695569,input_1
205,2024-01-19 08:19:31,465,465,1705695571,input_1
206,2024-01-19 08:19:33,542,542,1705695573,input_1
207,2024-01-19 08:19:35,487,487,1705695575,input_1
208,2024-01-19 08:19:37,611,611,1705695577,input_1
209,2024-01-19 08:19:39,433,433,1705695579,input_1
210,2024-01-19 08:19:41,376,376,1705695581,input_1
211,2024-01-19 08:19:43,825,825,1705695583,input_1
212,2024-01-19 08:19:45,371,371,1705695585,input_1
213,2024-01-19 08:19:47,498,498,1705695587,input_1
214,2024-01-19 08:19:49,316,316,1705695589,input_1
215,2024-01-19 08:19:51,341,341,1705695591,input_1
